	observed_features
TL1a_DTT_173_Repeat	65
TL1a_FP_140	51
TL1a_DTT_76_Repeat	79
TL1a_FP_207	50
TL1a_FP_65	56
TL1a_FP_64	56
TL1a_DTT_172_Re_extracted	172
TL1a_FP_209	44
TL1a_FP_206	52
TL1a_FP_242	48
TL1a_FP_77	122
TL1a_FP_245	161
TL1a_FP_76	144
TL1a_FP_102	152
TL1a_DTT_169_Re_extracted	180
TL1a_FP_98	69
TL1a_FP_75	114
TL1a_FP_173	181
TL1a_FP_141	62
TL1a_FP_174	178
TL1a_FP_144	89
TL1a_FP_142	187
TL1a_FP_62	61
TL1a_DTT_245_Repeat	67
TL1a_FP_74	124
TL1a_FP_172	149
TL1a_FP_171	62
TL1a_FP_66	104
TL1a_FP_143	186
TL1a_FP_100	162
TL1a_FP_99	60
TL1a_FP_246	135
TL1a_FP_78	72
TL1a_FP_210	146
TL1a_FP_208	52
TL1a_DTT_244_Repeat	96
TL1a_FP_101	102
TL1a_FP_244	81
TL1a_FP_63	61
TL1a_DTT_142_Repeat	45
TL1a_FP_243	50
TL1a_FP_170	107
TL1a_DTT_78	49
TL1a_FP_205	51
TL1a_DTT_139	65
TL1a_DTT_171	62
TL1a_FP_73	72
TL1a_DTT_209	46
TL1a_DTT_74	72
TL1a_FP_139	67
TL1a_DTT_141	65
TL1a_DTT_210	57
TL1a_DTT_241	103
TL1a_DTT_243	51
TL1a_DTT_205	49
TL1a_DTT_206	59
TL1a_DTT_64	53
TL1a_DTT_62	50
TL1a_DTT_65	58
TL1a_DTT_242	50
TL1a_DTT_73	62
TL1a_DTT_63	50
TL1a_DTT_207	73
TL1a_DTT_75	56
TL1a_DTT_246	132
TL1a_DTT_97	63
TL1a_FP_169	84
TL1a_DTT_66	58
TL1a_FP_61	64
TL1a_FP_241	45
TL1a_DTT_140	58
TL1a_DTT_99	91
TL1a_DTT_77	56
TL1a_DTT_98	64
TL1a_FP_97	63
TL1a_DTT_170	137
TL1a_DTT_208	98
TL1A_DTT_642	169
TL1A_FP_641	116
TL1A_FP_689	94
TL1A_FP_638	62
TL1A_FP_640	90
TL1A_FP_685	50
TL1A_FP_686	52
TL1A_DTT_640	164
TL1A_FP_639	48
TL1A_FP_687	50
TL1A_DTT_638	52
TL1A_FP_637	53
TL1A_FP_688	129
TL1A_DTT_641	159
TL1A_DTT_639	53
TL1A_DTT_687	45
TL1A_DTT_689	114
